label,recall,precision
human,0.30996309963099633,0.9545454545454546
human,0.31365313653136534,0.9550561797752809
human,0.3173431734317343,0.9555555555555556
human,0.3210332103321033,0.9560439560439561
human,0.3247232472324723,0.9565217391304348
human,0.3247232472324723,0.946236559139785
human,0.3284132841328413,0.9468085106382979
human,0.33210332103321033,0.9473684210526315
human,0.33579335793357934,0.9479166666666666
human,0.33579335793357934,0.9381443298969072
human,0.33948339483394835,0.9387755102040817
human,0.34317343173431736,0.9393939393939394
human,0.34686346863468637,0.94
human,0.34686346863468637,0.9306930693069307
human,0.34686346863468637,0.9215686274509803
human,0.3505535055350554,0.9223300970873787
human,0.35424354243542433,0.9230769230769231
human,0.35424354243542433,0.9142857142857143
human,0.35793357933579334,0.9150943396226415
human,0.36162361623616235,0.9158878504672897
human,0.36162361623616235,0.9074074074074074
human,0.36531365313653136,0.908256880733945
human,0.36531365313653136,0.9
human,0.36900369003690037,0.9009009009009009
human,0.3726937269372694,0.9017857142857143
human,0.3726937269372694,0.8938053097345132
human,0.3763837638376384,0.8947368421052632
human,0.3763837638376384,0.8869565217391304
human,0.3800738007380074,0.8879310344827587
human,0.3837638376383764,0.8888888888888888
human,0.3874538745387454,0.8898305084745762
human,0.39114391143911437,0.8907563025210085
human,0.3948339483394834,0.8916666666666667
human,0.3948339483394834,0.8842975206611571
human,0.3985239852398524,0.8852459016393442
human,0.3985239852398524,0.8780487804878049
human,0.4022140221402214,0.8790322580645161
human,0.4059040590405904,0.88
human,0.4095940959409594,0.8809523809523809
human,0.4095940959409594,0.8740157480314961
human,0.4132841328413284,0.875
human,0.41697416974169743,0.875968992248062
human,0.41697416974169743,0.8692307692307693
human,0.42066420664206644,0.8702290076335878
human,0.42066420664206644,0.8636363636363636
human,0.42066420664206644,0.8571428571428571
human,0.42435424354243545,0.8582089552238806
human,0.42435424354243545,0.8518518518518519
human,0.4280442804428044,0.8529411764705882
human,0.4317343173431734,0.8540145985401459
human,0.4354243542435424,0.855072463768116
human,0.4354243542435424,0.8489208633093526
human,0.43911439114391143,0.85
human,0.43911439114391143,0.8439716312056738
human,0.44280442804428044,0.8450704225352113
human,0.44649446494464945,0.8461538461538461
human,0.45018450184501846,0.8472222222222222
human,0.45018450184501846,0.8413793103448276
human,0.45387453874538747,0.8424657534246576
human,0.45387453874538747,0.8367346938775511
human,0.45387453874538747,0.831081081081081
